TANGGAL PEMBELIAN,NAMA SUPPLIER & PENYEDIA JASA,ITEM,QTY,HARGA,KETERANGAN
2025-11-18,Bintang Mas,Scotlight Wajik,1 roll,Rp  60.000,Jika Pembelian Banyak Harga Berbeda
2025-04-22,MM,Kancing,1 gross,Rp  21.000,Jika Pembelian Banyak Harga Berbeda
2025-04-22,MM,Tali Karet KT,1 roll,Rp  14.000,Jika Pembelian Banyak Harga Berbeda
2025-04-22,MM,Benang Jahit Putra,1 lusin,Rp  19.000,Jika Pembelian Banyak Harga Berbeda
2025-07-23,PT. Knitto Tekstil Indonesia,Krah CVC Pique 24s - Abu Muda,0.69 kg,Rp  77.970,Jika Pembelian Banyak Harga Berbeda
2025-07-24,PT. Knitto Tekstil Indonesia,Manset CVC Pique 24s - Abu Muda,"0,46 lg",Rp  51.980,Jika Pembelian Banyak Harga Berbeda
2025-07-01,PT. Knitto Tekstil Indonesia,Krah CVC Pique 24s - Abu Muda,1 kg,Rp  124.000,Jika Pembelian Banyak Harga Berbeda
2025-03-12,Subur Jaya Lumintu,HS Putih,1 kg,Rp  55.000,Jika Pembelian Banyak Harga Berbeda
2025-07-18,Toko Konveksi (KF),Kancing ,1 gross,Rp  38.500,Jika Pembelian Banyak Harga Berbeda
2025-05-22,Toko Konveksi (KF),Hak Talon Polos,1 doss,Rp  35.000,Jika Pembelian Banyak Harga Berbeda
2025-11-25,Toko Konveksi (KF),Scotlight Rompi,1 roll,Rp  55.000,Jika Pembelian Banyak Harga Berbeda
2025-12-04,Toko Konveksi (KF),Retsleting Jepang,1 lusin,Rp  20.000,Jika Pembelian Banyak Harga Berbeda
2025-05-15,Toko Konveksi (KF),Karet P12 A Putih,1 kg,Rp  46.000,Jika Pembelian Banyak Harga Berbeda
2025-05-15,Toko Konveksi (KF),Kancing CSS 33 (30),1 lusin,Rp  41.500,Jika Pembelian Banyak Harga Berbeda
2025-05-22,Toko Konveksi (KF),Retsleting GPO,1 lusin,Rp  28.000,Jika Pembelian Banyak Harga Berbeda
2025-12-03,Toko Meme,Benang Jahit Putra,1 lusin,Rp  19.000,Jika Pembelian Banyak Harga Berbeda
2025-12-03,Toko Meme,Kancing Mutiara,1 gross,Rp  21.000,Jika Pembelian Banyak Harga Berbeda
2025-12-03,Toko Meme,Karet Elastic,1 roll,Rp  33.000,Jika Pembelian Banyak Harga Berbeda
2025-03-12,UB. Intisari Jaya,Selang Bening,1 m,Rp  4.000,Jika Pembelian Banyak Harga Berbeda
2025-08-23,UD. Menang Kancing Surabaya,Benang Yamalon ,1 lusin,Rp  18.000,Jika Pembelian Banyak Harga Berbeda
