Item Name,Item Code,Item Type,Qty,Unit
Kain Keras TK,,,1,roll
Kain Lurik,,,1,meter
Kain Jala Fashion,,,1,kg
Kain Milano,,,1,roll
Kain Jala Mesh Biru,,,1,meter
Kain Jala Double Mesh Orange,,,1,meter
Kain Jala Double Mesh Biru,,,1,meter
Kain Jala Double Mesh Merah,,,1,meter
Kain Commbed 24s Navy,,,1,kg
Kain Commbed 24s Mustard,,,1,kg
Kain Pablo Escobar,,,1,yard
Kain Toyobo,,,1,yard
CVC Pique Hexagon 24s - Abu Muda,,,1,kg
CVC Pique Hexagon 24s - Putih Bluish,,,1,kg
TC Olive Putih,,,1,roll
TC Olive Pramuka,,,1,roll
Kain Jet Black,,,1,pcs
Kain American Macan,,,1,meter
Kain Japan Dril,,,1,yard
Kain Union,,,1,yard
Kain Toyobo,,,1,meter
Kain Satin,,,1,meter
Kain Centini,,,1,meter
Kain Keras Megatop,,,1,roll
Kain Kapas Kuralon,,,1,roll
Kain Furing,,,1,roll
Kain Toyobo Premium,,,1,roll
Kain TRM,,,1,meter
Kain Jet Black Wool Peach,,,1,meter
sad,100,inventory,pcs,1
